,ouname,ou,disease,dateOfOnSet,confirmed_x,suspected_x,Alive_x,Cured_x,_x,confirmed_y,suspected_y,_y,Positive,,Alive_y,Cured_y,Sorti gueri,Sorti guerrie,Sortie guerris,Sortis guerri,alive,sortie,dateOfOnSetWeek,confirmedValue,suspectedValue
25,Nkombo CS,nIlIEOPhfbj,Cholera,2017-08-28,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,2.0
26,Nkombo CS,nIlIEOPhfbj,Cholera,2017-08-29,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,4.0
27,Nkombo CS,nIlIEOPhfbj,Cholera,2017-08-30,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,1.0
28,Rusizi CS,qoW5bj2PwTR,Cholera,2017-08-20,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W33,0.0,1.0
29,Rusizi CS,qoW5bj2PwTR,Cholera,2017-08-29,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,1.0
30,Rusizi CS,qoW5bj2PwTR,Cholera,2017-08-30,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,1.0
31,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-02,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W35,0.0,1.0
32,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-04,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
33,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-05,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,2.0
34,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-07,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
35,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-08,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
36,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
37,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-11,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W37,0.0,1.0
38,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-13,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W37,0.0,1.0
39,Rusizi CS,qoW5bj2PwTR,Cholera,2017-09-15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W37,0.0,1.0
40,Rusizi CS,qoW5bj2PwTR,Cholera,2017-10-06,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W40,0.0,1.0
41,Rusizi CS,qoW5bj2PwTR,Cholera,2017-10-07,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W40,0.0,1.0
42,Rusizi CS,qoW5bj2PwTR,Cholera,2017-10-10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W41,0.0,1.0
